service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72,0,1,1,1,0,0,0,20250422,20250424
106,1,1,1,1,1,1,1,20250315,20250425
120,1,1,1,1,1,1,1,20250315,20250425
95,1,1,1,1,1,1,1,20250401,20250426
114,1,1,1,1,1,1,1,20250316,20250426
78,1,1,1,1,1,1,1,20250315,20250425
55,1,1,1,1,1,1,1,20250315,20250426
82,1,1,1,1,1,1,1,20250315,20250331
113,1,1,1,1,1,1,1,20250315,20250426
111,1,1,1,1,1,1,1,20250315,20250425
118,1,1,1,1,1,1,1,20250315,20250426
124,1,1,1,1,1,1,1,20250313,20250430
119,1,1,1,1,1,1,1,20250315,20250426
90,0,0,0,0,1,0,0,20250321,20250328
73,1,1,1,1,1,0,1,20250316,20250425
126,1,1,1,1,1,0,1,20250313,20250430
110,1,1,1,1,1,0,1,20250316,20250426
107,1,1,1,1,1,0,1,20250316,20250425
83,1,1,1,1,1,0,1,20250316,20250331
109,1,1,1,1,1,0,1,20250316,20250426
68,1,1,1,1,1,0,1,20250316,20250425
116,1,1,1,1,1,0,1,20250316,20250426
86,1,1,1,1,1,1,0,20250315,20250331
97,1,1,1,1,1,1,0,20250315,20250418
40,1,1,1,1,1,1,0,20250315,20250416
67,1,1,1,1,1,1,0,20250315,20250426
100,1,1,1,1,1,1,0,20250315,20250424
79,1,1,1,1,1,1,0,20250315,20250424
63,1,1,1,1,1,1,0,20250315,20250426
60,1,1,1,1,1,1,0,20250315,20250426
127,1,1,1,1,1,1,0,20250313,20250430
121,1,1,1,1,1,1,0,20250315,20250426
81,0,0,0,0,1,1,1,20250315,20250425
122,0,0,0,0,1,1,1,20250316,20250426
57,0,0,0,0,1,1,1,20250315,20250426
87,1,1,1,1,0,0,0,20250317,20250331
64,0,1,1,1,1,0,0,20250417,20250424
65,0,0,0,1,1,0,1,20250316,20250425
74,0,1,1,1,0,1,0,20250419,20250426
103,0,1,1,1,0,1,0,20250315,20250424
88,1,1,1,1,0,1,0,20250315,20250331
85,1,1,1,1,0,1,1,20250315,20250331
89,0,0,0,0,1,1,0,20250315,20250329
69,0,0,0,1,0,1,0,20250315,20250426
70,0,0,0,1,1,1,1,20250315,20250426
80,0,0,0,1,1,1,1,20250315,20250425
112,0,0,0,1,1,1,1,20250316,20250426
92,0,1,1,1,1,1,0,20250417,20250426
71,0,1,1,1,1,1,0,20250315,20250424
105,1,1,1,1,1,0,0,20250317,20250426
101,1,1,1,1,1,0,0,20250317,20250426
45,1,1,1,1,1,0,0,20250317,20250331
25,1,1,1,1,1,0,0,20250317,20250416
102,1,1,1,1,1,0,0,20250317,20250418
96,1,1,1,1,1,0,0,20250317,20250424
123,1,1,1,1,1,0,0,20250313,20250430
117,1,1,1,1,1,0,0,20250317,20250426
56,1,1,1,1,1,0,0,20250317,20250424
66,1,1,1,1,1,0,0,20250317,20250426
84,1,1,1,1,0,0,1,20250316,20250331
98,0,0,0,1,1,1,0,20250417,20250426
8,0,0,0,0,0,1,1,20250315,20250330
77,0,0,0,0,0,1,1,20250315,20250426
94,0,0,0,0,0,1,1,20250316,20250426
128,0,0,0,0,0,1,1,20250315,20250427
108,0,0,0,0,0,1,1,20250315,20250425
93,0,0,0,1,1,0,0,20250417,20250418
104,0,0,0,0,1,0,1,20250316,20250425
91,0,0,0,0,1,0,1,20250316,20250330
1,0,0,0,0,0,1,0,20250315,20250412
58,0,0,0,0,0,1,0,20250315,20250426
2,0,0,0,0,0,1,0,20250315,20250329
99,0,0,0,0,0,1,0,20250315,20250426
76,0,0,0,0,0,1,0,20250419,20250426
75,0,0,0,0,0,1,0,20250315,20250418
115,0,0,0,0,0,1,0,20250315,20250426
0,0,0,0,0,0,0,1,20250316,20250330
129,0,0,0,0,0,0,1,20250316,20250427
59,0,0,0,0,0,0,1,20250316,20250425
125,0,0,0,0,0,0,1,20250316,20250427
