service_id,date,exception_type
1#3,20250324,1
1#4,20250324,1
1#7,20250324,1
1#8,20250324,1
1#14,20250324,1
1#16,20250324,1
1#19,20250324,1
1#26,20250324,1
1#29,20250324,1
1#32,20250324,1
1#33,20250324,1
1#35,20250324,1
1#39,20250324,1
1#41,20250324,1
1#43,20250324,1
1#44,20250324,1
1#48,20250324,1
1#52,20250324,1
1#53,20250324,1
1#54,20250324,1
1#55,20250324,1
1#60,20250324,1
1#66,20250324,1
1#74,20250324,1
1#75,20250324,1
1#81,20250324,1
1#82,20250324,1
1#91,20250324,1
1#3,20250325,1
1#4,20250325,1
1#7,20250325,1
1#8,20250325,1
1#14,20250325,1
1#16,20250325,1
1#19,20250325,1
1#26,20250325,1
1#29,20250325,1
1#32,20250325,1
1#33,20250325,1
1#35,20250325,1
1#39,20250325,1
1#41,20250325,1
1#43,20250325,1
1#44,20250325,1
1#48,20250325,1
1#52,20250325,1
1#53,20250325,1
1#54,20250325,1
1#55,20250325,1
1#60,20250325,1
1#67,20250325,1
1#76,20250325,1
1#84,20250325,1
1#93,20250325,1
1#3,20250326,1
1#4,20250326,1
1#7,20250326,1
1#8,20250326,1
1#14,20250326,1
1#16,20250326,1
1#19,20250326,1
1#26,20250326,1
1#29,20250326,1
1#32,20250326,1
1#33,20250326,1
1#35,20250326,1
1#39,20250326,1
1#41,20250326,1
1#43,20250326,1
1#44,20250326,1
1#48,20250326,1
1#52,20250326,1
1#53,20250326,1
1#54,20250326,1
1#55,20250326,1
1#60,20250326,1
1#67,20250326,1
1#76,20250326,1
1#84,20250326,1
1#93,20250326,1
1#3,20250327,1
1#4,20250327,1
1#7,20250327,1
1#8,20250327,1
1#14,20250327,1
1#16,20250327,1
1#19,20250327,1
1#26,20250327,1
1#29,20250327,1
1#32,20250327,1
1#33,20250327,1
1#35,20250327,1
1#39,20250327,1
1#41,20250327,1
1#43,20250327,1
1#44,20250327,1
1#48,20250327,1
1#52,20250327,1
1#53,20250327,1
1#54,20250327,1
1#55,20250327,1
1#60,20250327,1
1#67,20250327,1
1#76,20250327,1
1#84,20250327,1
1#93,20250327,1
1#3,20250328,1
1#4,20250328,1
1#7,20250328,1
1#13,20250328,1
1#14,20250328,1
1#16,20250328,1
1#25,20250328,1
1#26,20250328,1
1#29,20250328,1
1#32,20250328,1
1#33,20250328,1
1#35,20250328,1
1#39,20250328,1
1#40,20250328,1
1#43,20250328,1
1#44,20250328,1
1#48,20250328,1
1#52,20250328,1
1#53,20250328,1
1#54,20250328,1
1#55,20250328,1
1#60,20250328,1
1#70,20250328,1
1#71,20250328,1
1#80,20250328,1
1#84,20250328,1
1#85,20250328,1
1#93,20250328,1
1#94,20250328,1
1#95,20250328,1
1#3,20250329,1
1#4,20250329,1
1#11,20250329,1
1#12,20250329,1
1#15,20250329,1
1#17,20250329,1
1#18,20250329,1
1#21,20250329,1
1#22,20250329,1
1#24,20250329,1
1#27,20250329,1
1#30,20250329,1
1#31,20250329,1
1#34,20250329,1
1#35,20250329,1
1#37,20250329,1
1#39,20250329,1
1#40,20250329,1
1#44,20250329,1
1#45,20250329,1
1#47,20250329,1
1#50,20250329,1
1#53,20250329,1
1#54,20250329,1
1#55,20250329,1
1#57,20250329,1
1#59,20250329,1
1#62,20250329,1
1#79,20250329,1
1#86,20250329,1
1#87,20250329,1
1#88,20250329,1
1#89,20250329,1
1#1,20250330,1
1#2,20250330,1
1#3,20250330,1
1#8,20250330,1
1#9,20250330,1
1#18,20250330,1
1#20,20250330,1
1#23,20250330,1
1#28,20250330,1
1#36,20250330,1
1#38,20250330,1
1#41,20250330,1
1#42,20250330,1
1#46,20250330,1
1#49,20250330,1
1#51,20250330,1
1#53,20250330,1
1#56,20250330,1
1#60,20250330,1
1#64,20250330,1
1#69,20250330,1
1#73,20250330,1
1#77,20250330,1
1#90,20250330,1
1#92,20250330,1
1#3,20250331,1
1#4,20250331,1
1#7,20250331,1
1#8,20250331,1
1#14,20250331,1
1#16,20250331,1
1#19,20250331,1
1#26,20250331,1
1#29,20250331,1
1#32,20250331,1
1#33,20250331,1
1#35,20250331,1
1#39,20250331,1
1#41,20250331,1
1#43,20250331,1
1#48,20250331,1
1#52,20250331,1
1#53,20250331,1
1#54,20250331,1
1#55,20250331,1
1#60,20250331,1
1#67,20250331,1
1#76,20250331,1
1#81,20250331,1
1#83,20250331,1
1#93,20250331,1
1#3,20250401,1
1#4,20250401,1
1#7,20250401,1
1#8,20250401,1
1#14,20250401,1
1#16,20250401,1
1#19,20250401,1
1#26,20250401,1
1#29,20250401,1
1#32,20250401,1
1#33,20250401,1
1#35,20250401,1
1#39,20250401,1
1#41,20250401,1
1#48,20250401,1
1#52,20250401,1
1#53,20250401,1
1#54,20250401,1
1#55,20250401,1
1#60,20250401,1
1#67,20250401,1
1#76,20250401,1
1#84,20250401,1
1#93,20250401,1
1#3,20250402,1
1#4,20250402,1
1#7,20250402,1
1#8,20250402,1
1#14,20250402,1
1#16,20250402,1
1#19,20250402,1
1#26,20250402,1
1#29,20250402,1
1#32,20250402,1
1#33,20250402,1
1#35,20250402,1
1#39,20250402,1
1#41,20250402,1
1#48,20250402,1
1#52,20250402,1
1#53,20250402,1
1#54,20250402,1
1#55,20250402,1
1#60,20250402,1
1#67,20250402,1
1#76,20250402,1
1#84,20250402,1
1#93,20250402,1
1#3,20250403,1
1#4,20250403,1
1#7,20250403,1
1#8,20250403,1
1#14,20250403,1
1#16,20250403,1
1#19,20250403,1
1#26,20250403,1
1#29,20250403,1
1#32,20250403,1
1#33,20250403,1
1#35,20250403,1
1#39,20250403,1
1#41,20250403,1
1#48,20250403,1
1#52,20250403,1
1#53,20250403,1
1#54,20250403,1
1#55,20250403,1
1#60,20250403,1
1#67,20250403,1
1#76,20250403,1
1#84,20250403,1
1#93,20250403,1
1#3,20250404,1
1#4,20250404,1
1#7,20250404,1
1#13,20250404,1
1#14,20250404,1
1#16,20250404,1
1#25,20250404,1
1#26,20250404,1
1#29,20250404,1
1#32,20250404,1
1#33,20250404,1
1#35,20250404,1
1#39,20250404,1
1#40,20250404,1
1#48,20250404,1
1#52,20250404,1
1#53,20250404,1
1#54,20250404,1
1#55,20250404,1
1#60,20250404,1
1#70,20250404,1
1#71,20250404,1
1#80,20250404,1
1#84,20250404,1
1#85,20250404,1
1#93,20250404,1
1#94,20250404,1
1#95,20250404,1
1#3,20250405,1
